StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,Q26_Browser,Q26_Version,Q26_Operating System,Q26_Resolution,QID54_First Click,QID54_Last Click,QID54_Page Submit,QID54_Click Count,real_imaginary,initials_box,describe,feelings_youalone,feelings_bothyoufirst,feelings_themalone,feelings_boththemfirst,feelings_neither,feelings_youaloneforgiven,feelings_DO_1,feelings_DO_2,feelings_DO_3,feelings_DO_4,feelings_DO_5,feelings_DO_6,feelings_exp,outcome_binary1,outcome_binary1_DO_1,outcome_binary1_DO_2,outcome_binary2,outcome_binary2_DO_1,outcome_binary2_DO_2,blame_1,attention_1,attention_1_TEXT,attention_2,attention_2_TEXT,attention_3,attention_3_TEXT,target_sex,target_sex_3_TEXT,sex,sex_3_TEXT,age,comments,mainControl,passedattn,lottery_draw,winner,initials,initiator_type,InitiatorType-binarychoice_DO_outcome_binary2,InitiatorType-binarychoice_DO_outcome_binary1,InitiatorType-binarychoice_DO_Q30
1/27/21 12:12,1/27/21 12:16,IP Address,98.212.159.22,100,187,TRUE,1/27/21 12:16,R_2vex3Z2Y8UJUhho,,,,,40.11199951,-88.2365036,anonymous,EN,AGREE,Safari,14.0.2,Macintosh,1440x900,38.174,38.174,39.609,1,I have thought of a real argument/conflict from my life where this is true,lc,Can't agree at work,-19,0,-20,0,-10,-10,2,4,1,3,5,6,,Neither I nor ${e://Field/initials} apologizes.,1,2,Neither I nor ${e://Field/initials} apologizes.,1,2,40,,,,,,banana,Female,,Female,,29,,showConsentOn showAttnOn,yes,17,0,lc,never,2,3,1
1/27/21 12:12,1/27/21 12:16,IP Address,73.110.74.18,100,190,TRUE,1/27/21 12:16,R_UWk2HHPXa0vxJEB,,,,,41.92089844,-87.70429993,anonymous,EN,AGREE,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,12.719,12.719,13.599,1,I have thought of a real argument/conflict from my life where this is true,STX,"We were working on a project, and an experimental demonstration did not work out properly. After the mishap, I found a fix, but it was too late. The demonstration was really important to this person, and after the mishap he felt as if it would be difficult to trust me.",10,20,-19,30,-20,5,5,1,2,3,4,6,,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,75,,,,,,banana,Male,,Male,,26,,showConsentOn showAttnOn,yes,7,0,STX,always,2,3,1
1/27/21 12:12,1/27/21 12:16,IP Address,24.1.229.0,100,216,TRUE,1/27/21 12:16,R_3dNe0dpi9xqXJE4,,,,,41.89860535,-87.73799896,anonymous,EN,AGREE,Chrome,87.0.4280.141,Macintosh,1920x1080,22.183,22.183,24.711,1,I have thought of a real argument/conflict from my life where this is true,EM,Disagreement about the process for input and timeline for delivery for a communication product.,-22,15,-1,12,-24,-29,5,2,1,3,4,6,,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,50,,,,,,Banana,Female,,Male,,34,,showConsentOn showAttnOn,yes,35,0,EM,always,2,3,1
1/27/21 12:12,1/27/21 12:16,IP Address,73.110.45.82,100,228,TRUE,1/27/21 12:16,R_uthr22c7jsHMSUp,,,,,41.8710022,-87.62889862,anonymous,EN,AGREE,Chrome,88.0.4324.96,Macintosh,1440x900,20.323,31.935,35.455,5,I have thought of a real argument/conflict from my life where this is true,OSC,"We were yelling at each other about something simple, but it escalated into something else. My ego was scratched and I said some defensive angry remarks. ",-10,10,-4,7,4,12,1,5,3,4,2,6,,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,46,,,,,,banana,Male,,Male,,20,,showConsentOn showAttnOn,yes,38,0,OSC,always,2,3,1
1/27/21 12:12,1/27/21 12:16,IP Address,72.83.222.239,100,242,TRUE,1/27/21 12:16,R_bBJ75JWs3W8KSgF,,,,,38.94889832,-76.93520355,anonymous,EN,AGREE,Chrome,88.0.4324.104,Windows NT 10.0,1920x1200,29.019,29.019,42.399,1,I have thought of a real argument/conflict from my life where this is true,TR,I'm not comfortable writing this.,-30,8,1,20,-20,-30,2,1,3,5,4,6,,"I apologize first, then ${e://Field/initials} apologizes.",2,1,Neither I nor ${e://Field/initials} apologizes.,1,2,31,,,,,,Banana,Other,,Male,,149,don't use these data; was just clicking through.,showConsentOn showAttnOn,yes,37,0,TR,conditional,3,2,1
1/27/21 12:12,1/27/21 12:16,IP Address,75.3.232.164,100,252,TRUE,1/27/21 12:16,R_3LfYCLoxkitDLMZ,,,,,41.88819885,-87.61640167,anonymous,EN,AGREE,Chrome,88.0.4324.96,Macintosh,1440x900,19.112,19.112,20.203,1,I have thought of a real argument/conflict from my life where this is true,CM,"Decision to take on new, risky initiative (high effort, high payoff; work is slightly outside of job description)",-20,-10,-20,9,-10,-10,1,2,3,4,5,6,,"I apologize first, then ${e://Field/initials} apologizes.",2,1,Neither I nor ${e://Field/initials} apologizes.,2,1,35,,Netherlands,,Vietnam,,Morocco,Female,,Female,,28,,showConsentOn showAttnOn,no,10,0,CM,conditional,2,3,1
1/27/21 12:12,1/27/21 12:16,IP Address,108.7.50.47,100,240,TRUE,1/27/21 12:16,R_3p4o7ohyg5szGL4,,,,,42.48100281,-71.15630341,anonymous,EN,AGREE,Safari,13.0.5,Macintosh,1440x900,11.992,20.81,22.201,3,I am imagining myself in a fictional situation where this is true (I can't think of one from my own life),NM,There was a class assignment that was due and the work was designed as a group project. We split the work at the beginning and rushed to put it together at the end--one of the teammates did not do the correct part of the assignment so we were missing a segment altogether,-10,10,10,-10,20,-30,3,2,1,4,5,6,,Neither I nor ${e://Field/initials} apologizes.,1,2,Neither I nor ${e://Field/initials} apologizes.,1,2,59,,,,,,banana ,Female,,Male,,21,,showConsentOn showAttnOn,yes,28,0,NM,never,2,3,1
1/27/21 12:12,1/27/21 12:16,IP Address,50.237.5.2,100,243,TRUE,1/27/21 12:16,R_usTgGl3mSlaJR29,,,,,41.88819885,-87.61640167,anonymous,EN,AGREE,Chrome,87.0.4280.141,Macintosh,1440x900,13.573,13.573,14.85,1,I have thought of a real argument/conflict from my life where this is true,TS,This colleague felt that I was not delivering a creative/out of the box enough solution and I felt that I was providing as much as possible given the constraints I was working with. There was no extreme argument but I could tell that he was not pleased with my explanation.,-19,27,-30,30,-8,22,1,5,4,3,2,6,,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,30,,,,,,banana,Male,,Female,,24,,showConsentOn showAttnOn,yes,23,0,TS,always,3,2,1
1/27/21 12:12,1/27/21 12:16,IP Address,142.147.59.203,100,245,TRUE,1/27/21 12:16,R_2upnP4bUI9b7rme,,,,,41.8710022,-87.62889862,anonymous,EN,AGREE,Chrome,87.0.4280.141,Windows NT 10.0,1368x912,26.313,26.313,27.477,1,I have thought of a real argument/conflict from my life where this is true,MM,My manager didn't want to present an analysis that I had done to the client and we argued if it was worth presenting or not.,-21,5,-21,5,-10,-6,2,1,5,3,4,6,,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",2,1,52,,,,,,banana,Female,,Male,,28,,showConsentOn showAttnOn,yes,32,0,MM,always,2,3,1
1/27/21 12:13,1/27/21 12:17,IP Address,128.135.98.151,100,249,TRUE,1/27/21 12:17,R_5z2POi5gxcMK2Wd,,,,,41.78210449,-87.604599,anonymous,EN,AGREE,Chrome,88.0.4324.104,Windows NT 10.0,1920x1080,34.663,34.663,37.399,1,I have thought of a real argument/conflict from my life where this is true,JI,"They did not do any work in a group project. Even when we made it easy for them to help, they refused and hurt our grade.",-30,-20,10,25,-5,-11,3,1,2,5,4,6,,Neither I nor ${e://Field/initials} apologizes.,2,1,Neither I nor ${e://Field/initials} apologizes.,2,1,10,,,,,,banana,Male,,Male,,18,,showConsentOn showAttnOn,yes,34,0,JI,never,2,3,1
